Time_ms,com_Pos_deg,pul_Pos_deg,com_Vel_deg_per_s,pul_Vel_deg_per_s
4788,1454.6394140588582,1422.0,840.1142373389075,789.2109469773995
4790,1456.5398665924567,1423.8,840.7519546529076,789.9210712456878
4793,1458.443053180018,1425.6000000000001,841.3901194170174,790.5061440386854
4795,1460.3463739023564,1427.4,842.0279063422419,791.0874179249814
4797,1462.2494513892373,1429.2,842.6651432098234,791.6810144888559
4799,1464.1496108612412,1431.0,843.3009675552497,792.3978786949166
4802,1466.0532502727751,1432.8,843.9374888311974,792.9572098545965
4804,1467.9565733482978,1434.6000000000001,844.5734272826844,793.5340122814566
4806,1469.8601092048425,1436.4,845.2090438446903,794.1043106090389
4808,1471.7601424330915,1438.2,845.8430111037933,794.8249739601007
4811,1473.6638260223494,1440.0,846.4777470686539,795.3799341185538
4813,1475.5673061176215,1441.8,847.1119768533621,795.9479298432998
4815,1477.4778287799456,1443.6000000000001,847.747079229138,796.2236755709316
4817,1479.3832035386229,1445.4,848.3818057507158,796.7476017230878
4820,1481.287771317964,1447.2,849.0151996558196,797.3129556573637
4822,1483.192531089541,1449.0,849.6480861947562,797.8734941576262
4824,1485.096805310175,1450.8,850.2803289160846,798.4582138202096
4826,1486.9978939107561,1452.6000000000001,850.9111177267386,799.1788642712121
4829,1488.902032226202,1454.4,851.5424428765181,799.758092194676
4831,1490.8066509825037,1456.2,852.1734576455633,800.3187272734123
4833,1492.7108956536224,1458.0,852.8039366488856,800.8987165220914
4835,1494.6121232396138,1459.8,853.4329553344726,801.6081837244669
4837,1496.5195596252447,1461.6000000000001,854.0635013216861,802.0432014155374
4840,1498.4247806325566,1463.4,854.6930250928319,802.587909300807
4842,1500.330454710553,1465.2,855.3221842068815,803.118375534307
4844,1502.2351999092339,1467.0,855.9506182490455,803.6945808495702
4846,1504.14018552152,1468.8,856.5786919971512,804.2623033737898
4849,1506.0449338321973,1470.6000000000001,857.2062593751152,804.8426426826908
4851,1507.950154568156,1472.4,857.833492024543,805.4041205954325
4853,1509.8550366310767,1474.2,858.460238217104,805.9830837911451
4855,1511.7603858947134,1476.0,859.0865970210631,806.5434324703344
4857,1513.6658350314237,1477.8,859.712683054726,807.1026361863087
4860,1515.571078850019,1479.6000000000001,860.3381666285763,807.6737647347588
4862,1517.4766551989123,1481.4,860.9634131903457,808.2326570640299
4864,1519.3818288778543,1483.2,861.5880616791172,808.8118654818552
4866,1521.2873621728913,1485.0,862.2123631589237,809.3767632255733
4869,1523.192740922609,1486.8,862.8362014700982,809.9507109240312
